Dependents,tenure,Contract,PaperlessBilling,MonthlyCharges,tenure_group,has_internet,num_addon_services,charge_category,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,Churn
0,8,0,1,94.0,0,1,2,2,1,0,0,0,0,1,0,1,0,0,1
0,3,0,1,63.6,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
0,32,0,0,91.05,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,50.15,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0,67,1,1,105.4,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,67,1,1,72.35,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,66,2,1,85.9,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,23,0,0,84.25,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,18,1,1,82.0,1,1,2,2,0,0,0,0,0,0,0,1,0,1,1
0,72,2,1,109.75,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,47,0,0,75.45,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0
0,2,0,0,76.4,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
0,35,0,1,86.45,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,31,2,0,20.4,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,69,2,1,81.5,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,2,0,1,83.8,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0
1,22,1,0,20.15,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,71,2,1,19.9,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,17,2,0,19.4,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,46,0,0,55.0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,71,2,0,58.65,3,1,3,1,0,0,0,1,0,1,0,0,0,1,0
1,0,2,0,73.35,0,1,3,2,0,0,0,0,0,1,0,1,0,1,0
0,59,0,1,99.45,3,1,3,3,1,0,0,1,0,1,0,1,0,0,0
1,52,2,0,19.35,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,51,0,1,49.65,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0
0,12,0,1,73.3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,25,0,1,25.4,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,41,0,1,104.4,2,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,51,1,1,111.5,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,1,0,1,73.0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
0,16,0,1,80.55,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,57,1,0,74.6,3,1,3,2,0,0,0,0,0,1,0,1,0,1,0
1,4,0,0,56.5,0,1,2,1,0,0,0,0,0,1,0,0,0,1,1
1,27,0,0,74.4,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0
1,19,0,0,50.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,35,1,0,20.05,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,41,0,1,104.7,2,1,2,3,1,0,0,0,0,1,0,1,0,0,1
1,49,1,1,109.2,3,1,3,3,1,0,0,1,0,1,0,1,0,0,0
0,9,0,0,20.25,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,33,0,1,79.0,2,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,30,1,1,68.95,2,1,2,2,0,0,0,0,0,1,0,1,0,0,0
0,1,0,1,86.6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,72,2,1,115.8,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,12,2,1,24.0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,33,0,0,20.05,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,46,1,1,69.1,2,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,12,0,1,96.0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1
0,60,0,1,89.9,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,59,1,0,79.85,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,12,0,0,80.85,0,1,2,2,1,0,0,1,0,0,0,0,0,1,1
0,67,1,0,109.9,3,1,3,3,1,0,0,1,0,1,0,1,0,0,0
0,47,2,1,20.55,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,70.9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,4,0,1,73.75,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1
1,72,2,1,115.5,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,68,2,1,110.8,3,1,3,3,1,0,0,1,0,1,0,1,0,0,0
1,5,0,0,46.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,72,2,0,25.1,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,67,2,0,94.1,3,1,2,2,1,0,0,0,0,1,0,0,0,1,0
0,5,0,0,20.65,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,2,0,1,74.9,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,46,0,0,45.55,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0
1,72,2,1,90.35,3,1,3,2,1,0,0,1,0,1,0,0,0,1,0
0,6,0,0,50.95,0,1,3,1,0,0,0,1,0,1,0,0,0,1,0
0,56,1,0,19.95,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,18,2,1,24.65,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,69.4,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,56,1,0,95.65,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,61,0,1,82.15,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,15,0,1,83.05,1,1,2,2,1,0,0,0,0,0,0,1,0,1,1
0,19,0,1,106.6,1,1,3,3,1,0,0,1,0,0,0,1,0,1,1
0,57,0,1,99.65,3,1,1,3,1,0,0,1,0,0,0,0,0,0,0
0,3,0,0,50.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,32,0,1,80.35,2,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,23,1,0,40.65,1,1,3,1,0,0,0,1,0,1,0,0,0,1,0
0,1,0,0,20.1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,3,0,1,70.3,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,68,2,1,80.65,3,1,2,2,0,0,0,0,0,1,0,1,0,0,0
0,4,0,0,19.0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,36,1,0,19.55,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,28,0,0,76.55,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0
0,30,0,1,50.0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
0,69,1,1,110.55,3,1,3,3,1,0,0,1,0,0,0,1,0,1,0
0,33,0,1,93.35,2,1,2,2,1,0,0,0,0,1,0,1,0,0,0
0,24,0,1,102.95,1,1,2,3,1,0,0,0,0,1,0,1,0,0,1
0,3,0,1,74.95,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,27,1,0,56.2,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,34,1,0,64.35,2,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,6,0,1,49.5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,26,0,1,93.85,2,1,2,2,1,0,0,0,0,1,0,1,0,0,1
0,1,0,1,84.6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,31,0,0,89.3,2,1,3,2,1,0,0,1,0,0,0,1,0,1,0
1,68,2,0,19.95,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,90.55,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,39,0,1,81.5,2,1,2,2,1,0,0,0,0,0,0,1,0,1,0
1,58,0,1,92.85,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,60,2,1,20.5,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,61,1,1,115.1,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,56,1,1,64.65,3,1,3,1,0,0,0,1,0,1,0,0,0,1,0
1,13,0,0,30.15,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,6,0,1,109.9,0,1,3,3,1,0,0,0,0,1,0,1,0,1,1
0,1,0,1,50.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,40,2,0,19.1,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,5,0,0,20.15,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,7,0,0,34.2,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0
0,34,0,0,62.65,2,1,3,1,0,0,0,1,0,1,0,0,0,1,1
0,20,1,0,54.0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,72,2,0,103.95,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
1,71,2,0,19.9,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,71,2,0,80.4,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
1,9,1,0,20.25,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,72,2,1,110.9,3,1,3,3,1,0,0,1,0,0,0,1,0,1,0
1,40,0,1,64.1,2,1,2,1,0,0,0,1,0,0,0,0,0,1,0
1,28,1,1,82.85,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0
0,36,1,0,55.8,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0
0,13,0,1,70.15,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0
1,44,2,1,54.05,2,1,4,1,0,0,0,1,0,1,0,1,0,1,0
1,9,0,0,55.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,37,0,1,96.1,2,1,1,3,1,0,0,0,0,1,0,0,0,0,0
0,15,0,0,101.75,1,1,2,3,1,0,0,1,0,0,0,1,0,0,0
0,10,0,1,94.85,0,1,2,2,1,0,0,0,0,1,0,1,0,0,1
0,2,0,0,19.35,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,71,2,1,47.05,3,1,2,1,0,0,0,0,0,0,0,1,0,1,0
1,42,1,0,20.25,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,0,19.9,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,47,1,1,66.05,2,1,2,2,0,0,0,1,0,0,0,1,0,0,0
0,67,1,1,105.6,3,1,2,3,1,0,0,1,0,1,0,0,0,0,0
1,65,2,1,79.4,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0
1,33,1,1,58.45,2,1,3,1,0,0,0,1,0,1,0,1,0,0,0
0,1,0,1,76.4,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1
1,46,1,0,24.9,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,70,2,1,74.8,3,1,3,2,0,0,0,1,0,0,0,1,0,1,0
0,62,1,1,92.3,3,1,2,2,1,0,0,1,0,1,0,0,0,0,0
1,7,0,1,45.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,57,2,0,19.9,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,66,2,1,61.15,3,1,3,1,0,0,0,1,0,1,0,1,0,0,0
1,48,1,1,99.7,2,1,2,3,1,0,0,1,0,0,0,1,0,0,0
1,23,1,0,24.35,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,30,1,0,74.65,2,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,69,2,0,24.25,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,61,2,1,69.9,3,1,2,2,0,0,0,1,0,0,0,1,0,0,0
0,5,0,1,50.95,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1,39,2,1,19.85,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,1,0,1,20.25,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,58,2,0,94.35,3,1,2,2,1,0,0,0,0,0,0,1,0,1,0
1,13,1,1,104.15,1,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,56,0,1,100.65,3,1,1,3,1,0,0,0,0,0,0,1,0,0,1
1,31,1,1,81.15,2,1,3,2,0,0,0,1,0,0,0,1,0,1,0
1,70,2,1,84.1,3,1,3,2,0,0,0,0,0,1,0,1,0,1,0
1,4,0,0,50.85,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,16,0,1,86.25,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,5,0,1,81.0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,48,1,1,65.65,2,1,2,2,0,0,0,0,0,1,0,1,0,0,0
0,15,0,1,29.7,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
0,6,0,1,49.45,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,25,1,1,90.4,2,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,72,2,1,112.75,3,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,26,0,1,93.6,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,10,0,0,75.05,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0
0,3,2,0,71.1,0,1,3,2,0,0,0,1,0,1,0,0,0,1,0
0,9,0,0,71.0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,70,2,0,86.45,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
1,6,0,1,55.3,0,1,2,1,0,0,0,0,0,1,0,1,0,0,1
0,4,0,0,20.15,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,4,0,0,48.25,0,1,3,1,0,0,0,1,0,0,0,1,0,1,0
0,36,1,1,70.7,2,1,2,2,0,0,0,0,0,1,0,0,0,1,0
0,51,1,1,19.85,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,69,2,0,105.4,3,1,2,3,1,0,0,0,0,1,0,0,0,1,0
0,42,0,1,95.25,2,1,2,3,1,0,0,0,0,1,0,1,0,0,1
0,4,0,1,46.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,27,0,1,53.8,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0
0,2,0,1,79.65,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
1,59,2,1,75.95,3,1,2,2,0,0,0,0,0,1,0,0,0,1,0
1,17,0,1,92.7,1,1,3,2,1,0,0,0,0,1,0,1,0,1,0
0,70,2,0,64.55,3,1,4,1,0,0,0,1,0,1,0,1,0,1,0
0,29,0,1,94.2,2,1,1,2,1,0,0,0,0,0,0,0,0,1,0
0,25,2,1,20.75,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,52,1,0,30.1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,12,0,1,45.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,53.55,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,70.5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1
0,25,1,1,26.8,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,68,2,1,20.0,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,3,0,0,45.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0,71,1,1,92.0,3,1,4,2,1,0,0,1,0,1,0,1,0,1,0
1,63,2,1,104.8,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,27,0,1,81.3,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0
1,60,0,1,80.95,3,1,1,2,1,0,0,1,0,0,0,0,0,0,0
0,45,0,1,87.25,2,1,2,2,1,0,0,0,0,0,0,1,0,1,1
1,3,0,1,64.5,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0
0,35,2,1,113.2,2,1,4,3,1,0,0,1,0,1,0,1,0,1,0
0,10,0,1,19.9,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,72,2,0,80.2,3,1,4,2,0,0,0,1,0,1,0,1,0,1,0
0,3,0,1,30.75,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,4,0,1,61.3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0
0,13,2,1,20.4,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
1,49,0,1,39.2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0
1,16,2,0,20.5,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,15,0,1,94.65,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0
0,21,0,1,97.35,1,1,0,3,1,0,0,0,0,0,0,0,0,0,1
1,22,1,1,78.65,1,1,2,2,0,0,0,0,0,0,0,1,0,1,0
0,19,0,1,90.6,1,1,1,2,1,0,0,1,0,0,0,0,0,0,1
0,13,0,1,31.65,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,63,2,0,99.7,3,1,2,3,1,0,0,1,0,0,0,1,0,0,0
0,4,1,1,105.65,0,1,3,3,1,0,0,0,0,1,0,1,0,1,1
0,13,0,1,80.0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0
1,63,2,1,19.15,3,0,0,0,0,1,1,0,1,0,1,0,1,0,0
0,70,2,1,58.35,3,1,3,1,0,0,0,1,0,0,0,1,0,1,0
1,23,0,0,84.4,1,1,3,2,1,0,0,1,0,1,0,0,0,1,0
0,62,1,1,110.75,3,1,3,3,1,0,0,0,0,1,0,1,0,1,0
0,62,1,1,97.95,3,1,2,3,1,0,0,0,0,1,0,1,0,0,0
0,51,0,1,77.5,3,1,1,2,1,0,0,1,0,0,0,0,0,0,1
0,2,0,0,95.65,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1
1,22,0,1,89.4,1,1,2,2,1,0,0,0,0,1,0,1,0,0,1
0,47,1,1,58.9,2,1,3,1,0,0,0,1,0,1,0,0,0,1,0
0,43,0,1,108.15,2,1,3,3,1,0,0,1,0,1,0,0,0,1,1
0,61,1,1,96.5,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0
